[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

Servering at on  http://127.0.0.1:60039
[GIN] 2024/11/28 - 09:12:05 | 200 |      272.75µs |       127.0.0.1 | GET      "/static/js/client.js"
[GIN] 2024/11/28 - 09:12:05 | 200 |    4.304208ms |       127.0.0.1 | GET      "/static/css/element.min.css"
[GIN] 2024/11/28 - 09:12:05 | 200 |    7.961916ms |       127.0.0.1 | GET      "/static/js/element-ui.js"
[GIN] 2024/11/28 - 09:12:05 | 200 |      77.417µs |       127.0.0.1 | GET      "/static/css/fonts/element-icons.woff"
[GIN] 2024/11/28 - 09:12:05 | 200 |     926.291µs |       127.0.0.1 | POST     "/api/systemProxyStatus"
[GIN] 2024/11/28 - 09:12:05 | 200 |    1.778916ms |       127.0.0.1 | POST     "/api/getLocalConfig"
[GIN] 2024/11/28 - 09:12:05 | 200 |       4.573ms |       127.0.0.1 | POST     "/api/list"
[GIN] 2024/11/28 - 09:12:24 | 200 | 16.217529041s |       127.0.0.1 | POST     "/api/autoTest"
[GIN] 2024/11/28 - 09:12:51 | 200 |    8.183208ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/28 - 09:13:09 | 302 |      37.042µs |       127.0.0.1 | GET      "/"
[GIN] 2024/11/28 - 09:13:09 | 200 |     269.708µs |       127.0.0.1 | GET      "/static/client/"
[GIN] 2024/11/28 - 09:13:09 | 200 |     199.042µs |       127.0.0.1 | GET      "/static/css/bootstrap.css"
[GIN] 2024/11/28 - 09:13:09 | 200 |     479.833µs |       127.0.0.1 | GET      "/static/css/element.min.css"
[GIN] 2024/11/28 - 09:13:09 | 200 |      245.75µs |       127.0.0.1 | GET      "/static/js/clipboard.min.js"
[GIN] 2024/11/28 - 09:13:09 | 200 |     112.042µs |       127.0.0.1 | GET      "/static/js/vue.min.js"
[GIN] 2024/11/28 - 09:13:09 | 200 |     257.917µs |       127.0.0.1 | GET      "/static/js/axios.min.js"
[GIN] 2024/11/28 - 09:13:09 | 200 |    1.359875ms |       127.0.0.1 | GET      "/static/js/element-ui.js"
[GIN] 2024/11/28 - 09:13:09 | 200 |      90.375µs |       127.0.0.1 | GET      "/static/js/client.js"
[GIN] 2024/11/28 - 09:13:09 | 200 |      46.167µs |       127.0.0.1 | GET      "/static/css/fonts/element-icons.woff"
[GIN] 2024/11/28 - 09:13:09 | 200 |       713.5µs |       127.0.0.1 | POST     "/api/systemProxyStatus"
[GIN] 2024/11/28 - 09:13:09 | 200 |     313.625µs |       127.0.0.1 | POST     "/api/getLocalConfig"
[GIN] 2024/11/28 - 09:13:09 | 200 |     964.291µs |       127.0.0.1 | POST     "/api/list"
[GIN] 2024/11/28 - 09:13:13 | 200 | 16.215143292s |       127.0.0.1 | POST     "/api/autoTest"
[GIN] 2024/11/28 - 09:17:48 | 200 |    4.513166ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/28 - 09:17:59 | 200 |    3.278541ms |       127.0.0.1 | POST     "/api/stop"
[GIN] 2024/11/28 - 09:17:59 | 200 |     581.792µs |       127.0.0.1 | POST     "/api/list"
[GIN] 2024/11/28 - 09:18:00 | 200 |     3.87725ms |       127.0.0.1 | POST     "/api/del"
[GIN] 2024/11/28 - 09:18:00 | 200 |     549.917µs |       127.0.0.1 | POST     "/api/list"
[GIN] 2024/11/28 - 09:18:04 | 200 |    2.641167ms |       127.0.0.1 | POST     "/api/init"
[GIN] 2024/11/28 - 09:18:04 | 200 |      353.75µs |       127.0.0.1 | POST     "/api/list"
[GIN] 2024/11/28 - 09:18:36 | 200 |    4.506833ms |       127.0.0.1 | POST     "/api/edit"
[GIN] 2024/11/28 - 09:18:36 | 200 |     673.834µs |       127.0.0.1 | POST     "/api/list"
[GIN] 2024/11/28 - 09:18:38 | 200 |   14.363917ms |       127.0.0.1 | POST     "/api/reload"
[GIN] 2024/11/28 - 09:18:38 | 200 |     346.584µs |       127.0.0.1 | POST     "/api/list"
[GIN] 2024/11/28 - 09:18:45 | 200 |  5.002324834s |       127.0.0.1 | POST     "/api/autoTest"
[GIN] 2024/11/28 - 09:20:24 | 200 |    2.213708ms |       127.0.0.1 | POST     "/api/stop"
[GIN] 2024/11/28 - 09:20:24 | 200 |     808.625µs |       127.0.0.1 | POST     "/api/list"
[GIN] 2024/11/28 - 09:20:31 | 200 |      405.75µs |       127.0.0.1 | POST     "/api/edit"
[GIN] 2024/11/28 - 09:20:31 | 200 |     128.875µs |       127.0.0.1 | POST     "/api/list"
[GIN] 2024/11/28 - 09:20:36 | 200 |    1.368042ms |       127.0.0.1 | POST     "/api/edit"
[GIN] 2024/11/28 - 09:20:36 | 200 |     495.625µs |       127.0.0.1 | POST     "/api/list"
[GIN] 2024/11/28 - 09:20:37 | 200 |    6.463875ms |       127.0.0.1 | POST     "/api/reload"
[GIN] 2024/11/28 - 09:20:37 | 200 |     756.167µs |       127.0.0.1 | POST     "/api/list"
[GIN] 2024/11/28 - 09:20:41 | 200 |  2.481409166s |       127.0.0.1 | POST     "/api/autoTest"
[GIN] 2024/11/28 - 09:21:10 | 200 |  325.057666ms |       127.0.0.1 | POST     "/api/autoTest"
[GIN] 2024/11/28 - 09:21:12 | 200 |  327.721833ms |       127.0.0.1 | POST     "/api/autoTest"
[GIN] 2024/11/28 - 09:21:42 | 200 |    3.685958ms |       127.0.0.1 | POST     "/api/edit"
[GIN] 2024/11/28 - 09:21:42 | 200 |     378.083µs |       127.0.0.1 | POST     "/api/list"
[GIN] 2024/11/28 - 09:21:43 | 200 |    1.660708ms |       127.0.0.1 | POST     "/api/stop"
[GIN] 2024/11/28 - 09:21:43 | 200 |      514.75µs |       127.0.0.1 | POST     "/api/list"
[GIN] 2024/11/28 - 09:21:44 | 200 |    5.901917ms |       127.0.0.1 | POST     "/api/reload"
[GIN] 2024/11/28 - 09:21:44 | 200 |     491.625µs |       127.0.0.1 | POST     "/api/list"
[GIN] 2024/11/28 - 09:21:46 | 200 |  635.382167ms |       127.0.0.1 | POST     "/api/autoTest"
[GIN] 2024/11/28 - 09:22:14 | 200 |    11.06075ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/28 - 09:24:57 | 200 |    5.264125ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/28 - 09:25:17 | 200 |   10.919083ms |       127.0.0.1 | GET      "/qrcode?code=vmess://eyJ2IjowLCJwcyI6IjQ1LjE0My4yMzQuMTkwLXdzIiwiYWRkIjoiNDUuMTQzLjIzNC4xOTAiLCJwb3J0IjoiMzAwMDMiLCJpZCI6IjJmZTM4NjgyLWY3ZTgtNDU1OS1hZDZmLTU0Yjk0ZGMwNWExMiIsImFpZCI6IjAiLCJuZXQiOiJ3cyIsInR5cGUiOiIiLCJob3N0IjoiIiwicGF0aCI6IiIsInRscyI6IiJ9"
[GIN] 2024/11/28 - 09:28:02 | 200 |    6.359833ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/28 - 09:32:44 | 200 |    5.995584ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/28 - 09:33:44 | 200 |      2.5555ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/28 - 09:35:39 | 200 |    7.637875ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/28 - 09:39:24 | 200 |    7.438875ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/28 - 09:45:35 | 200 |     4.89025ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
[GIN] 2024/11/28 - 09:49:04 | 200 |    7.613292ms |       127.0.0.1 | GET      "/proxy.pac?t=1732701659"
